time/iterations,long_mean,time/fps,rollout/ep_rew_mean,return_std,long_std,time/time_elapsed,short_std,return_mean,time/total_timesteps,short_mean,rollout/ep_len_mean,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/std
1,0.0009924946,237,-2138.25,44.016834,0.015112258,8,0.026429696,-30.779018,2048,0.020686366,1000.0,,,,,,,,,,,
2,0.00078002905,228,-1460.125,31.792307,0.01746117,17,0.011981077,-13.907636,4096,0.018404473,1000.0,1e-05,0.2,0.014697265625,10,0.0034334436,-7.094854608178139,-0.12133502960205078,3052.624585342407,1725.137939453125,-0.004713829382671975,1.000113606452942
3,0.00071759726,223,-1240.375,30.467855,0.015849162,27,0.016389087,-15.47225,6144,0.021912701,1000.0,1e-05,0.2,0.024267578125,20,0.0052106474,-7.095541453361511,0.051656365394592285,1000.0047836303711,464.7860107421875,-0.005652540383744053,1.0002455711364746
4,0.00066570623,214,-742.65625,14.807459,0.019427523,38,0.015978819,9.723295,8192,0.030685022,1000.0,1e-05,0.2,0.035546875,30,0.006506546,-7.095390394330025,0.15291589498519897,774.4300200462342,437.6292724609375,-0.00685679273592541,1.0000898838043213
5,0.00047619565,216,-343.9,9.96576,0.019887423,47,0.018907357,31.521427,10240,0.038278297,1000.0,1e-05,0.2,0.085498046875,40,0.010446573,-7.092801307141781,0.4279215931892395,150.62172329425812,47.306270599365234,-0.012129634647862986,0.9990850687026978
6,0.00039496075,219,-54.6875,11.359943,0.016378222,56,0.015333223,49.97265,12288,0.047105506,1000.0,1e-05,0.2,0.0275390625,50,0.0070472625,-7.0899415731430055,0.07436037063598633,218.52263357639313,51.34747314453125,-0.007340878472314216,0.9989574551582336
7,0.00038988795,221,168.19642857142858,12.684687,0.018536476,64,0.01145732,63.42236,14336,0.04075273,1000.0,1e-05,0.2,0.03369140625,60,0.0076208045,-7.0898460611701015,0.49112093448638916,155.88276875019073,24.908967971801758,-0.005244059252436273,0.9992539286613464
8,0.0005708368,223,335.328125,12.76554,0.016916381,73,0.01256723,75.95596,16384,0.040178485,1000.0,1e-05,0.2,0.008447265625,70,0.0043109106,-7.091220626235009,0.48936980962753296,157.53657356500625,41.23332977294922,-0.0020895107474643735,0.999351441860199
9,0.0007059828,224,372.0,13.863015,0.01555421,81,0.016754085,96.12136,18432,0.042387705,1000.0,1e-05,0.2,0.0169921875,80,0.0050631827,-7.091450574994087,0.30278825759887695,145.4624527812004,25.723203659057617,-0.003139716022997163,0.9993209838867188
10,0.00040164957,225,472.0625,15.987985,0.016756896,90,0.018776733,86.93475,20480,0.033787176,1000.0,1e-05,0.2,0.04677734375,90,0.007166839,-7.091476809978485,-0.7022178173065186,245.6830377101898,117.55828857421875,-0.006004842577385716,0.9994277358055115
11,0.0006608089,227,565.2840909090909,14.773923,0.01676362,99,0.014137119,96.65747,22528,0.031724706,1000.0,1e-05,0.2,0.026806640625,100,0.0052099796,-7.091930370032787,0.4622498154640198,165.83466061353684,58.803810119628906,-0.0038673546325298956,0.9994673132896423
12,0.00052381784,228,637.0729166666666,16.229895,0.0175344,107,0.017249383,102.075455,24576,0.036604453,1000.0,1e-05,0.2,0.053173828125,110,0.0074374084,-7.0921941041946415,0.25072580575942993,172.56033527851105,47.918460845947266,-0.006483640607621055,0.9995548129081726
13,0.0005076403,228,684.0480769230769,15.535926,0.017968396,116,0.018146636,107.20149,26624,0.0383523,1000.0,1e-05,0.2,0.051708984375,120,0.006871123,-7.092421144247055,-0.01277148723602295,227.47704002857208,146.88414001464844,-0.00794897165033035,0.9994840025901794
14,0.00052213884,229,731.9196428571429,15.842674,0.017633248,125,0.014967181,112.042984,28672,0.049153544,1000.0,1e-05,0.2,0.04521484375,130,0.0060925502,-7.092179416120052,0.04160362482070923,212.89822865724562,30.313230514526367,-0.005136094469344243,0.99945068359375
15,0.000544376,229,766.4,14.2628975,0.014230084,133,0.015972199,110.71362,30720,0.046965323,1000.0,1e-05,0.2,0.050732421875,140,0.0074516786,-7.0921452909708025,0.043137967586517334,230.10115311145782,43.50640869140625,-0.006245363928610459,0.9995073676109314
16,0.00045078225,230,809.5,13.412186,0.017086333,142,0.0136762485,112.70925,32768,0.045557324,1000.0,1e-05,0.2,0.032470703125,150,0.0056837704,-7.092475096881389,-0.05393493175506592,199.5513204574585,21.1302433013916,-0.004849440048565157,0.9996344447135925
17,0.0005484463,230,837.125,13.0802355,0.0157067,151,0.014540817,113.91815,34816,0.044318922,1000.0,1e-05,0.2,0.014697265625,160,0.004473231,-7.0926785066723825,-0.07603859901428223,189.4945634007454,49.00709915161133,-0.0032217784522799776,0.9996206164360046
18,0.00043231726,230,868.1319444444445,14.271889,0.014587917,159,0.01521988,115.655174,36864,0.037425295,1000.0,1e-05,0.2,0.027783203125,170,0.0061797635,-7.093517254292965,-0.014507174491882324,170.82322458028793,83.48294067382812,-0.0037314969333237967,0.9999731183052063
19,0.00052358967,231,900.1513157894736,14.527971,0.017816702,168,0.016086502,122.50418,38912,0.033589832,1000.0,1e-05,0.2,0.022216796875,180,0.0049409745,-7.094779126346111,0.13102275133132935,171.10870145559312,163.93698120117188,-0.003546523893601261,1.000038981437683
20,0.0005500667,231,928.0,15.429582,0.015473087,177,0.015144658,125.05924,40960,0.03614047,1000.0,1e-05,0.2,0.042431640625,190,0.005820441,-7.096019478142262,0.10226243734359741,189.24987152814865,68.38699340820312,-0.005311142458231189,1.0005066394805908
21,0.0007002929,231,967.3953488372093,17.032595,0.01584083,185,0.014327194,123.22284,43008,0.031232737,1000.0,1e-05,0.2,0.051123046875,200,0.0065779276,-7.096930965781212,0.15600913763046265,198.11812624931335,122.30565643310547,-0.005593085859436542,1.000369906425476
22,0.00051738,231,994.6777777777778,16.589191,0.01750429,194,0.015142691,130.30524,45056,0.036982395,1000.0,1e-05,0.2,0.032861328125,210,0.0055888603,-7.096942727267742,0.07288259267807007,264.93210208415985,127.04302978515625,-0.0040944869004306385,1.0005505084991455
23,0.00066102005,232,1016.186170212766,16.787794,0.017815718,202,0.019898398,135.20242,47104,0.03446518,1000.0,1e-05,0.2,0.031201171875,220,0.0061382386,-7.097350405156613,0.008908271789550781,239.98039140701295,117.9655990600586,-0.0042538233188679445,1.0005193948745728
24,0.00049583917,232,1037.4183673469388,16.398272,0.013996704,211,0.020988822,135.15753,49152,0.037523285,1000.0,1e-05,0.2,0.10439453125,230,0.009310611,-7.097875864803791,0.06615817546844482,253.84844162464142,91.49817657470703,-0.010358280755463056,1.000724196434021
25,0.00071036746,232,1056.049019607843,15.489524,0.013203853,220,0.012535702,136.39786,51200,0.037659474,1000.0,1e-05,0.2,0.03232421875,240,0.0061366567,-7.098651266098022,0.05619841814041138,245.84310513734818,83.9026870727539,-0.003632535522046965,1.0008879899978638
26,0.0004585628,232,1067.745283018868,14.477584,0.013590337,228,0.017303754,133.873,53248,0.034718163,1000.0,1e-05,0.2,0.018310546875,250,0.0046071596,-7.099722015857696,-0.07432293891906738,240.22341437339782,98.04727172851562,-0.0023464436540962196,1.001150369644165
