long_std,time/total_timesteps,return_mean,short_std,time/fps,return_std,time/iterations,time/time_elapsed,long_mean,rollout/ep_len_mean,rollout/ep_rew_mean,short_mean,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_fraction,train/clip_range,train/policy_gradient_loss
0.18672144,2000,0.94034445,0.05614658,78,2.1876535,1,25,0.0012856713,2000.0,119.0,0.053665664,,,,,,,,,,
0.18429273,4000,1.160658,0.0696158,85,2.0258646,2,46,0.002848838,2000.0,98.0,0.083122104,2.1085667610168457,5.250032638013363,1e-05,-0.6931323735043406,4.801867e-05,10,-0.0021523237228393555,0.0,0.2,-0.00028721582202706486
0.19236548,6000,0.81941444,0.067980446,88,2.144548,3,68,0.0014285288,2000.0,60.333333333333336,0.10290741,2.2714476585388184,4.17860945686698,1e-05,-0.6930047303438187,6.947311e-05,20,0.0005293488502502441,0.0,0.2,-0.0002574081241618842
0.18809517,8000,0.508612,0.062318362,90,2.0828545,4,88,0.0014709453,2000.0,40.5,0.07701448,1.9808955192565918,4.584164786338806,1e-05,-0.6929489957168699,1.9931118e-05,30,0.0002516508102416992,0.0,0.2,-0.0002765005046967417
0.18667649,10000,1.2217126,0.06377717,92,2.0398812,5,108,0.0037946897,2000.0,51.2,0.051981196,1.846060872077942,4.325777214020491,1e-05,-0.6930416112765669,2.5171961e-05,40,0.004741489887237549,0.0,0.2,-0.00013572438037954271
0.19208115,12000,0.6759498,0.04228721,93,2.100046,6,128,0.002056838,2000.0,37.166666666666664,0.053592727,2.9040889739990234,4.262864287942648,1e-05,-0.6929923178628087,7.539865e-05,50,0.008490562438964844,0.0,0.2,-0.00043545256194192915
0.18518046,14000,0.8585811,0.05004102,93,2.2192788,7,150,0.0024257083,2000.0,36.57142857142857,0.039783265,1.8698934316635132,4.3743818663060665,1e-05,-0.6928864469751715,1.3273646e-05,60,0.015137791633605957,0.0,0.2,-0.0002562689041951671
0.18259345,16000,1.6930847,0.06486923,92,2.0753646,8,172,0.0034694362,2000.0,46.875,0.075745165,1.276595950126648,4.833571012318134,1e-05,-0.6927785148844123,3.2051612e-05,70,0.01595485210418701,0.0,0.2,-0.0003059519673115574
0.19403253,18000,1.5817624,0.061893042,92,2.3637006,9,194,0.00094436714,2000.0,44.666666666666664,0.053705815,1.5457799434661865,4.343117159605026,1e-05,-0.6923827104270458,9.3751005e-05,80,0.025572657585144043,0.0,0.2,-0.0002896456338930875
0.18282083,20000,1.3747118,0.13107961,92,2.2403755,10,216,0.0012847554,2000.0,40.9,0.06707685,1.5683138370513916,5.557042345404625,1e-05,-0.691842882707715,8.009339e-05,90,0.00010353326797485352,0.0,0.2,-0.0005831169371958822
0.17952906,22000,2.009023,0.06490004,92,2.1082292,11,239,0.0036224355,2000.0,46.90909090909091,0.06331326,2.2597403526306152,4.91902187410742,1e-05,-0.6914385361596942,0.0001080432,100,0.015408873558044434,0.0,0.2,-0.0005666009383276105
0.17982821,24000,2.0169513,0.065660805,91,2.070162,12,261,0.0028636528,2000.0,46.416666666666664,0.059121527,2.3680405616760254,4.448140527307987,1e-05,-0.6897953091189265,0.001464099,110,0.015078723430633545,0.0,0.2,-0.0018235164156067186
0.18763448,26000,2.810944,0.07797448,91,2.120448,13,285,0.0039971503,2000.0,53.15384615384615,0.08960051,1.889150857925415,4.285711719095707,1e-05,-0.6846644951030612,0.001082903,120,-0.004288673400878906,0.0,0.2,-0.0020903652970446275
0.18476427,28000,3.0647378,0.06416961,91,2.1619136,14,307,0.002139971,2000.0,55.42857142857143,0.07905064,2.3740110397338867,4.453728324174881,1e-05,-0.6695484729483724,0.0056603276,130,0.02821803092956543,0.0,0.2,-0.00355490276706405
