time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,long_std,rollout/ep_rew_mean,long_mean,return_mean,short_mean,short_std,time/fps,return_std,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance
2000,19,1,2000.0,0.18672144,119.0,0.0012856713,0.94034445,0.053665664,0.05614658,101,2.1876535,,,,,,,,,,
4000,39,2,2000.0,0.1855964,98.0,0.0031450144,1.1608193,0.0810161,0.07013159,100,2.021628,10,5.250116409361363,0.2,-0.00018000874551944436,2.3361383e-05,-0.6931399360299111,2.109950542449951,1e-05,0.0,-0.0021523237228393555
6000,59,3,2000.0,0.19244447,61.333333333333336,0.0018566288,0.84400666,0.104691006,0.06906081,100,2.1244814,20,4.162098599225283,0.2,-0.0002051373681752011,3.2554206e-05,-0.6930818948894739,2.2743310928344727,1e-05,0.0,0.0005768537521362305
8000,79,4,2000.0,0.18728304,40.5,0.001099634,0.5008468,0.07855078,0.0621363,100,2.0469072,30,4.496812744811177,0.2,-0.00030155456624925137,3.5840785e-05,-0.6930727927014232,1.9240187406539917,1e-05,0.0,-3.612041473388672e-05
10000,99,5,2000.0,0.18787237,52.0,0.0038663214,1.2489052,0.049765002,0.063555785,100,2.0177882,40,4.180250541865826,0.2,-0.00018689047283260152,2.2098568e-05,-0.6931054042652249,1.7930843830108643,1e-05,0.0,0.005216717720031738
12000,118,6,2000.0,0.19042756,38.666666666666664,0.002156424,0.7383425,0.051620558,0.04217851,100,2.0911245,50,4.187464612722397,0.2,-0.00035386599047342314,6.8902154e-05,-0.6930512288585305,2.6251072883605957,1e-05,0.0,0.007862627506256104
14000,138,7,2000.0,0.1832692,37.57142857142857,0.0025681013,0.8925002,0.039164804,0.04904573,100,2.1807585,60,4.340683019906282,0.2,-0.00025187640567310156,1.2517383e-05,-0.6929345939308404,1.8213189840316772,1e-05,0.0,0.013359248638153076
16000,158,8,2000.0,0.17987126,47.75,0.0033326326,1.7232172,0.07526124,0.06282674,100,2.0631225,70,4.669188053905964,0.2,-0.0003285562532255426,2.4101173e-05,-0.6928078362718224,1.2394410371780396,1e-05,0.0,0.01525181531906128
18000,178,9,2000.0,0.19025184,46.666666666666664,0.0008945186,1.6986142,0.055134457,0.060922854,100,2.3290415,80,4.301953539997339,0.2,-0.00022864167840452865,2.3019937e-05,-0.6925750041380525,1.6795246601104736,1e-05,0.0,0.02344799041748047
20000,198,10,2000.0,0.18423243,42.0,0.0016604782,1.4039998,0.07072969,0.13048877,100,2.1938365,90,5.383122237026692,0.2,-0.0006189057690789923,0.00010671237,-0.6922113534063101,1.6514824628829956,1e-05,0.0,0.002576887607574463
