return_mean,short_mean,short_std,time/time_elapsed,time/fps,long_mean,time/total_timesteps,return_std,rollout/ep_len_mean,long_std,time/iterations,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss
0.94034445,0.053665664,0.05614658,22,88,0.0012856713,2000,2.1876535,2000.0,0.18672144,1,119.0,,,,,,,,,,
1.1608193,0.0810161,0.07013159,42,94,0.0031450144,4000,2.021628,2000.0,0.1855964,2,98.0,0.0,-0.0021523237228393555,1e-05,10,-0.6931399360299111,0.2,2.3361383e-05,-0.00018000874551944436,2.109950542449951,5.250116409361363
0.84400666,0.104691006,0.06906081,69,86,0.0018566288,6000,2.1244814,2000.0,0.19244447,3,61.333333333333336,0.0,0.0005768537521362305,1e-05,20,-0.6930818948894739,0.2,3.2554206e-05,-0.0002051373681752011,2.2743310928344727,4.162098599225283
0.5008468,0.07855078,0.0621363,88,90,0.001099634,8000,2.0469072,2000.0,0.18728304,4,40.5,0.0,-3.612041473388672e-05,1e-05,30,-0.6930727927014232,0.2,3.5840785e-05,-0.00030155456624925137,1.9240187406539917,4.496812744811177
1.2489052,0.049765002,0.063555785,107,92,0.0038663214,10000,2.0177882,2000.0,0.18787237,5,52.0,0.0,0.005216717720031738,1e-05,40,-0.6931054042652249,0.2,2.2098568e-05,-0.00018689047283260152,1.7930843830108643,4.180250541865826
0.7383425,0.051620558,0.04217851,127,94,0.002156424,12000,2.0911245,2000.0,0.19042756,6,38.666666666666664,0.0,0.007862627506256104,1e-05,50,-0.6930512288585305,0.2,6.8902154e-05,-0.00035386599047342314,2.6251072883605957,4.187464612722397
0.8925002,0.039164804,0.04904573,147,95,0.0025681013,14000,2.1807585,2000.0,0.1832692,7,37.57142857142857,0.0,0.013359248638153076,1e-05,60,-0.6929345939308404,0.2,1.2517383e-05,-0.00025187640567310156,1.8213189840316772,4.340683019906282
1.7232172,0.07526124,0.06282674,166,96,0.0033326326,16000,2.0631225,2000.0,0.17987126,8,47.75,0.0,0.01525181531906128,1e-05,70,-0.6928078362718224,0.2,2.4101173e-05,-0.0003285562532255426,1.2394410371780396,4.669188053905964
1.6986142,0.055134457,0.060922854,186,96,0.0008945186,18000,2.3290415,2000.0,0.19025184,9,46.666666666666664,0.0,0.02344799041748047,1e-05,80,-0.6925750041380525,0.2,2.3019937e-05,-0.00022864167840452865,1.6795246601104736,4.301953539997339
1.4039998,0.07072969,0.13048877,205,97,0.0016604782,20000,2.1938365,2000.0,0.18423243,10,42.0,0.0,0.002576887607574463,1e-05,90,-0.6922113534063101,0.2,0.00010671237,-0.0006189057690789923,1.6514824628829956,5.383122237026692
1.7632192,0.068282306,0.062290423,225,97,0.0031094584,22000,2.135698,2000.0,0.18223986,11,45.09090909090909,0.0,0.012456715106964111,1e-05,100,-0.691895492002368,0.2,0.00036083735,-0.0007874245551647618,2.594386100769043,4.7338608186692
1.7579486,0.051214416,0.057573173,244,98,0.0030539206,24000,1.9923875,2000.0,0.18734403,12,44.25,0.0,0.018008828163146973,1e-05,110,-0.6910500656813383,0.2,0.0009174178,-0.001379768054903252,2.449972629547119,4.475144930928946
2.5708818,0.09997406,0.072453,265,97,0.0037109377,26000,2.0601094,2000.0,0.18620713,13,51.07692307692308,0.0,-0.0030851364135742188,1e-05,120,-0.6882954780012369,0.2,0.0005781284,-0.0016167208756087347,1.3671382665634155,3.96668633967638
3.0506086,0.08325398,0.067243144,285,98,0.0020555358,28000,2.0510962,2000.0,0.19052207,14,55.214285714285715,0.0,0.02364867925643921,1e-05,130,-0.6810650803148747,0.2,0.002986024,-0.0029266585763252804,2.021531343460083,4.253617437183857
3.5565445,0.04527451,0.057753306,305,98,0.0034245695,30000,2.45984,2000.0,0.18650602,15,59.46666666666667,0.0,0.0021324753761291504,1e-05,140,-0.6665237313136458,0.2,0.002958008,-0.0026948484970489516,2.3728394508361816,4.2141178853809835
3.7269177,0.114289045,0.059562277,326,97,0.0045264843,32000,2.285479,2000.0,0.1893491,16,62.0625,0.0,0.013299822807312012,1e-05,150,-0.6461583837866783,0.2,0.0017372603,-0.0025582014000974595,1.306547999382019,5.9486291542649266
4.0836887,0.14433831,0.08113116,347,97,0.0017137746,34000,1.9090385,2000.0,0.1845083,17,65.6470588235294,0.0,0.04860532283782959,1e-05,160,-0.6393576018512249,0.2,0.0024560087,-0.003648614330450073,2.278167963027954,4.930536875128746
3.9579394,0.10548894,0.07619507,367,97,0.0024835973,36000,2.1106339,2000.0,0.18472856,18,65.5,0.03544921875,-0.010463118553161621,1e-05,170,-0.6153783552348614,0.2,0.0059415936,-0.005549909203546121,2.5615978240966797,3.6334697883576155
5.0183935,0.09787961,0.08337466,387,98,0.0011409392,38000,2.235589,2000.0,0.1817826,19,73.15789473684211,0.002734375,0.029820024967193604,1e-05,180,-0.6072952264919877,0.2,0.0037533145,-0.0038444284640718252,1.9862140417099,4.31904565691948
5.9420166,0.09851357,0.088567145,414,96,0.0015704067,40000,2.4323304,2000.0,0.1930072,20,79.65,0.006787109375,0.021167457103729248,1e-05,190,-0.5773465501144528,0.2,0.0041918326,-0.002763800183311105,3.2905824184417725,5.0304925501346585
6.625355,0.07027232,0.053425435,437,96,0.0032838096,42000,2.3971298,2000.0,0.19018893,21,85.47619047619048,0.0060546875,0.027322232723236084,1e-05,200,-0.5587637774646282,0.2,0.0022600738,-0.0036258207896025852,1.3943111896514893,5.771533141285181
7.919172,0.08834501,0.08671818,457,96,0.0037243986,44000,2.617424,2000.0,0.18385719,22,95.63636363636364,0.01396484375,-8.237361907958984e-05,1e-05,210,-0.5565902505069971,0.2,0.0046932893,-0.003878866993181873,1.4209970235824585,5.734234841167927
8.817642,0.07202011,0.056854747,476,96,0.0024274006,46000,2.412789,2000.0,0.188028,23,103.04347826086956,0.002978515625,0.03583043813705444,1e-05,220,-0.5388122217729687,0.2,0.0027215995,-0.0019343168736668304,1.3859195709228516,6.839915793389082
8.864098,0.074495964,0.06879376,496,96,0.003040235,48000,2.0771441,2000.0,0.18635069,24,106.625,0.00830078125,0.0029630661010742188,1e-05,230,-0.5105150545015931,0.2,0.0032301405,-0.001881298354419414,1.9645073413848877,5.826180960610509
8.907508,0.15404488,0.077554464,516,96,0.002121011,50000,2.3909698,2000.0,0.19104964,25,110.64,0.02978515625,-0.042565226554870605,1e-05,240,-0.5141621103510261,0.2,0.0035509071,-0.004594155997619964,1.6625314950942993,4.48046997860074
9.64756,0.15677273,0.103329994,535,97,0.0014276049,52000,2.2407732,2000.0,0.18334824,26,117.07692307692308,0.01181640625,-0.02898561954498291,1e-05,250,-0.5026342213153839,0.2,0.0027130176,-0.0038459685019915923,5.113128185272217,5.8520004786551
8.954593,0.16351864,0.07055425,556,97,0.0024943436,54000,2.3114936,2000.0,0.19217579,27,117.5925925925926,0.0005859375,-0.007195830345153809,1e-05,260,-0.4871680986136198,0.2,0.0015751077,-0.002736130083212629,2.1239302158355713,5.095263296365738
10.518502,0.14975515,0.09324965,575,97,0.0036448517,56000,2.18142,2000.0,0.19359857,28,126.35714285714286,0.0,-0.05038273334503174,1e-05,270,-0.46652384297922256,0.2,0.0014977208,-0.002345643278385978,1.433374047279358,5.594365981221199
10.378851,0.12508467,0.06458457,595,97,0.0015708971,58000,2.1377113,2000.0,0.18491615,29,129.31034482758622,0.0,0.0045531392097473145,1e-05,280,-0.42433585226535797,0.2,0.00055888854,-0.000845172988192644,1.9577637910842896,4.959009385108947
10.73174,0.14473863,0.083514996,615,97,0.0014275851,60000,2.3464482,2000.0,0.17853206,30,133.5,0.007177734375,0.06051492691040039,1e-05,290,-0.40675854589790106,0.2,0.002614452,-0.0035772868199273945,4.20442533493042,4.263407639414072
12.040255,0.15407495,0.07267658,635,97,0.0034800044,62000,2.175477,2000.0,0.189586,31,140.96774193548387,0.001904296875,-0.0010118484497070312,1e-05,300,-0.3825385301373899,0.2,0.001268296,-0.0011233691955567337,3.068441152572632,5.496915140002966
12.666985,0.19416706,0.09396692,655,97,0.0043109152,64000,2.2956803,2000.0,0.18737997,32,147.3125,0.006982421875,0.018256068229675293,1e-05,310,-0.37273826636373997,0.2,0.0012603217,-0.0012053387967171148,2.3589210510253906,4.725901574641466
13.216849,0.15968677,0.0775496,674,97,0.0032780457,66000,2.432754,2000.0,0.19072273,33,152.93939393939394,0.00576171875,0.02690821886062622,1e-05,320,-0.3765710131265223,0.2,0.0023638792,-0.0009423574316315353,2.2012133598327637,5.161136005818844
13.821376,0.099200375,0.068089604,694,97,0.0031842496,68000,2.32954,2000.0,0.18057661,34,158.2941176470588,0.003466796875,-0.0012118816375732422,1e-05,330,-0.38182440456002953,0.2,0.0028612283,-0.0007893154310295358,2.601356029510498,5.895741261541843
14.57888,0.093444854,0.061930623,714,98,0.0019168076,70000,2.5940912,2000.0,0.18909317,35,164.34285714285716,0.02705078125,-0.004266977310180664,1e-05,340,-0.3519154775887728,0.2,0.0035009254,-0.003566610989946639,2.3328633308410645,5.415228030085563
15.046191,0.11430298,0.060495097,733,98,0.0033689155,72000,2.6915123,2000.0,0.19040775,36,170.05555555555554,0.002783203125,-0.03248584270477295,1e-05,350,-0.3329933863133192,0.2,0.0008997553,-0.0015037929610116408,2.3274643421173096,6.9515422530472275
14.886957,0.12557624,0.070788525,753,98,0.002425683,74000,2.252438,2000.0,0.1849628,37,173.35135135135135,0.025537109375,-0.017691373825073242,1e-05,360,-0.31420493298210206,0.2,0.0024453397,-0.0028452562750317157,6.352514743804932,7.406695993244648
15.85116,0.14138165,0.06541178,772,98,0.0027716407,76000,2.714877,2000.0,0.18614317,38,179.5,0.005126953125,-0.04408121109008789,1e-05,370,-0.28730151294730605,0.2,0.0018781926,-0.001277047023177147,1.7324447631835938,5.238302267342806
16.195196,0.1279419,0.08950796,793,98,0.0031501774,78000,2.371106,2000.0,0.18593475,39,184.46153846153845,0.006884765625,0.00904083251953125,1e-05,380,-0.2811495851259679,0.2,0.0008784936,-0.0012640188026125543,3.8462464809417725,7.246347513794899
16.51743,0.14372618,0.07509883,813,98,0.0029826798,80000,2.6269577,2000.0,0.18385246,40,189.375,0.0,-0.014336228370666504,1e-05,390,-0.2768124955706298,0.2,0.0003806199,-0.0003239772457163781,3.346036434173584,5.666404910385609
16.298864,0.123214066,0.07557886,832,98,0.0025258684,82000,2.3521006,2000.0,0.18679458,41,192.82926829268294,0.001904296875,0.011424601078033447,1e-05,400,-0.25929223564453424,0.2,0.0007167631,-0.0009574431693181396,3.469083786010742,6.823990719020367
16.94106,0.10821918,0.09191971,852,98,0.001559754,84000,2.560958,2000.0,0.18390453,42,197.66666666666666,0.002587890625,-0.019150733947753906,1e-05,410,-0.25742224981077017,0.2,0.0010763186,-0.0003779373568249866,1.3056914806365967,5.5451991312205795
17.03404,0.08325124,0.0669046,872,98,0.0022830237,86000,2.5806084,2000.0,0.18617442,43,201.3953488372093,0.023583984375,7.480382919311523e-05,1e-05,420,-0.24697216805070638,0.2,0.0020650802,-0.0024785825778963046,5.130281448364258,6.512428890913725
17.548454,0.09024015,0.08969072,891,98,0.0035100803,88000,2.407315,2000.0,0.18665805,44,206.5,0.000341796875,0.02554374933242798,1e-05,430,-0.23733052616007627,0.2,0.00068932254,-0.0009528170936391689,3.371917724609375,6.3956718891859055
18.610422,0.08801288,0.09262493,911,98,0.0027678786,90000,2.6440105,2000.0,0.18712929,45,212.8,0.006005859375,0.006979644298553467,1e-05,440,-0.21712895804084836,0.2,0.0010005004,-0.0006827793054981157,2.397937536239624,5.732332637906074
18.455832,0.13574705,0.058048446,932,98,0.0036872148,92000,2.5225427,2000.0,0.18276477,46,216.7826086956522,0.010888671875,0.041376471519470215,1e-05,450,-0.20186155163682998,0.2,0.0013931335,-0.0015334184776293115,3.266348123550415,6.673220244795084
18.08856,0.070938155,0.065409705,952,98,0.0026096685,94000,2.3977633,2000.0,0.18082231,47,219.19148936170214,0.002734375,-0.011784672737121582,1e-05,460,-0.1943707787897438,0.2,0.0010623544,-0.0004167811930528842,3.276698112487793,6.398897971212864
18.229738,0.07894517,0.09404537,971,98,0.002370505,96000,2.51885,2000.0,0.18136553,48,222.9375,0.001318359375,-0.018512487411499023,1e-05,470,-0.2017658372875303,0.2,0.0008127373,-0.000364786344289314,2.4686973094940186,5.859830699115991
18.527998,0.07003436,0.04315121,991,98,0.0014270556,98000,2.794622,2000.0,0.193096,49,226.75510204081633,0.00341796875,0.00251692533493042,1e-05,480,-0.19216812965460123,0.2,0.0008710923,-0.0019061372935539112,1.8012137413024902,6.308983715623617
18.409258,0.069921,0.0760453,1011,98,0.0017132605,100000,2.670207,2000.0,0.19154951,50,229.58,0.002197265625,0.019143879413604736,1e-05,490,-0.17824542350135744,0.2,0.00046682678,-0.0009098502763663418,5.54916524887085,7.582704167068004
19.259836,0.046130806,0.05394591,1031,98,0.0022757882,102000,2.817464,2000.0,0.18765922,51,234.49019607843138,0.000634765625,0.053661048412323,1e-05,500,-0.1712665124796331,0.2,0.00018808112,-0.00031548863917123525,2.0563859939575195,6.7596612580120565
19.758074,0.11277022,0.0837937,1051,98,0.0035419322,104000,2.7101634,2000.0,0.18396842,52,239.51923076923077,0.00322265625,0.013401806354522705,1e-05,510,-0.17244735001586378,0.2,0.00046041128,-0.000455331448756624,2.539977550506592,7.897052864730358
19.838676,0.16782285,0.11394673,1071,98,0.0027848415,106000,2.9331746,2000.0,0.18297844,53,243.0566037735849,0.0064453125,0.006221115589141846,1e-05,520,-0.18121350929141045,0.2,0.0012199967,-0.0010607401549350471,2.9049460887908936,7.337098067253828
19.430439,0.121134415,0.08243253,1091,98,0.0042794603,108000,2.400563,2000.0,0.19211213,54,245.22222222222223,0.000146484375,0.07064306735992432,1e-05,530,-0.1759092839900404,0.2,0.00027799557,-0.0006052990996977314,4.228785991668701,7.946095142513514
19.541742,0.14042401,0.099736094,1111,99,0.0026051148,110000,2.7077582,2000.0,0.19211186,55,248.34545454545454,0.002099609375,0.014231443405151367,1e-05,540,-0.18588313506916165,0.2,0.0009478234,-0.0005906085280003026,1.9959933757781982,5.643329826742411
19.384293,0.16188265,0.071795784,1130,99,0.0040159943,112000,2.7467036,2000.0,0.18336597,56,250.80357142857142,0.010498046875,0.039370715618133545,1e-05,550,-0.17993671256117522,0.2,0.001068159,-0.0007336358918109909,0.957287609577179,6.984722618386149
19.256683,0.08654331,0.09613182,1150,99,0.001506423,114000,2.5955138,2000.0,0.19239534,57,253.33333333333334,0.0,0.02134716510772705,1e-05,560,-0.16517914314754306,0.2,0.0001913891,-0.0002898833598010242,3.2927193641662598,7.320844307541847
19.01923,0.17423525,0.092467524,1170,99,0.0019976369,116000,2.4205902,2000.0,0.18798557,58,255.55172413793105,0.011767578125,0.10658425092697144,1e-05,570,-0.19062134618870913,0.2,0.0012805021,-0.0017115464084781705,3.2328097820281982,5.920506599545479
19.158453,0.14640857,0.060335003,1190,99,0.0024280779,118000,2.3259761,2000.0,0.18855253,59,258.1186440677966,0.00419921875,-0.05307316780090332,1e-05,580,-0.18649203069508075,0.2,0.0006457296,-0.0009586843298166059,1.4821808338165283,6.113409167528152
18.904982,0.20292728,0.08931954,1209,99,0.002057487,120000,2.368142,2000.0,0.19074035,60,260.03333333333336,0.0,-0.022315263748168945,1e-05,590,-0.17367983250878752,0.2,0.00047894864,-0.0002419255717541091,1.7943495512008667,5.454670231416822
19.460535,0.14116836,0.08222262,1229,99,0.0034099594,122000,2.4945815,2000.0,0.18485662,61,263.4590163934426,0.00830078125,0.03015422821044922,1e-05,600,-0.19823967115953564,0.2,0.00096096715,-0.0010582400544080883,2.041212797164917,5.3822271674871445
19.207493,0.1666133,0.07047494,1249,99,0.0018546652,124000,2.5955856,2000.0,0.18336207,62,265.43548387096774,0.011083984375,0.07266479730606079,1e-05,610,-0.18414531399030237,0.2,0.00039811293,-0.0006414559305994771,3.338468313217163,5.724435505270958
19.725872,0.17173186,0.056248814,1269,99,0.0019478158,126000,2.8425117,2000.0,0.1944482,63,268.5079365079365,0.01923828125,0.13933449983596802,1e-05,620,-0.17931983468588442,0.2,0.0009906704,-0.0023295169055927547,3.217647075653076,5.733268316835165
19.51207,0.13300076,0.09261444,1288,99,0.0022851967,128000,2.8454866,2000.0,0.18001702,64,270.34375,0.010498046875,0.03715246915817261,1e-05,630,-0.15938996935728938,0.2,0.0012951883,-0.000983307568822056,2.3724963665008545,7.768177780508995
19.270378,0.16514204,0.07887822,1308,99,0.0030303209,130000,2.492017,2000.0,0.17964996,65,271.9846153846154,0.00087890625,-0.03584635257720947,1e-05,640,-0.16908793414477258,0.2,0.001233673,-0.0005288710672175512,5.566842555999756,8.272157987952232
19.957842,0.107058816,0.07688672,1328,99,0.0025661124,132000,2.5622492,2000.0,0.19041295,66,275.1060606060606,0.003076171875,-0.0023279190063476562,1e-05,650,-0.176802744762972,0.2,0.00017594466,-0.00045430247555486856,2.596158027648926,6.190068006515503
19.963463,0.14420855,0.0896179,1348,99,0.0028251715,134000,2.7231634,2000.0,0.18562338,67,277.1940298507463,0.006640625,0.02385246753692627,1e-05,660,-0.14796987019944935,0.2,0.0006833727,-0.0007760445994790643,2.028057336807251,6.403704509139061
19.984373,0.13551636,0.07378143,1368,99,0.001844868,136000,2.5422583,2000.0,0.18652563,68,279.1617647058824,0.0046875,0.022043943405151367,1e-05,670,-0.14497700741048902,0.2,0.0005039441,-0.000928026637120638,2.2413220405578613,7.1738399177789685
19.27387,0.17400707,0.085575074,1388,99,0.0030756015,138000,2.4729316,2000.0,0.18422526,69,280.1014492753623,0.002880859375,0.0430111289024353,1e-05,680,-0.13832860875409098,0.2,0.00066050625,-0.000585992143896874,1.4657857418060303,6.200938040018082
19.40422,0.15944788,0.06700583,1408,99,0.0037762127,140000,2.436516,2000.0,0.18515733,70,282.0857142857143,0.0115234375,-0.024806618690490723,1e-05,690,-0.14236615933477878,0.2,0.0012018136,-0.0010588297547656112,2.436612844467163,6.131676558405161
19.876995,0.110853106,0.059661217,1427,99,0.0031348593,142000,2.421313,2000.0,0.17991385,71,284.59154929577466,0.0125,0.04347163438796997,1e-05,700,-0.1330605093971826,0.2,0.0010330959,-0.00128132498357445,2.1049132347106934,5.500215870141983
19.006054,0.10422815,0.06618659,1447,99,0.004109371,144000,2.5706966,2000.0,0.18906716,72,285.09722222222223,0.0,0.05625343322753906,1e-05,710,-0.11526887759100646,0.2,0.00023741944,-0.0005322183889802546,2.1926229000091553,5.523453310504555
18.801146,0.13949344,0.085673444,1467,99,0.0014280966,146000,2.6075695,2000.0,0.17948894,73,286.36986301369865,0.00087890625,0.03476905822753906,1e-05,720,-0.12849227176047862,0.2,0.000101170604,-0.00015761469549033791,2.220500946044922,6.360929819196462
19.07675,0.12876345,0.08708022,1487,99,0.0020974027,148000,2.4442403,2000.0,0.19552101,74,288.1081081081081,0.00234375,0.054127395153045654,1e-05,730,-0.11410684356233106,0.2,0.0010004023,-0.0005440744891529903,4.005730152130127,6.426841968297959
19.332436,0.14702259,0.067122,1507,99,0.0033240758,150000,2.6775208,2000.0,0.18506433,75,290.1066666666667,0.014208984375,0.013677716255187988,1e-05,740,-0.12923672529868782,0.2,0.0007529174,-0.0013692677559447475,1.5323728322982788,5.83332467675209
19.171503,0.14638716,0.06542491,1526,99,0.002633531,152000,2.4776423,2000.0,0.18847059,76,291.3421052631579,0.000341796875,0.06816482543945312,1e-05,750,-0.11532707661390304,0.2,0.00030904505,-0.00037698866071878,2.325223207473755,6.627597909420729
19.106981,0.12094138,0.06878907,1546,99,0.0018561182,154000,2.4819493,2000.0,0.18676886,77,292.5584415584416,0.000146484375,0.01646411418914795,1e-05,760,-0.1312700554728508,0.2,0.00016345608,-1.720235886750743e-05,5.123632907867432,5.997258479893207
18.374582,0.14246446,0.07710619,1566,99,0.0014854334,156000,2.4977906,2000.0,0.18382202,78,292.97435897435895,0.015771484375,0.021697998046875,1e-05,770,-0.1276600378099829,0.2,0.0018195272,-0.0019879795028828083,4.662304878234863,6.038356885313988
18.560701,0.15174271,0.06997284,1586,99,0.0017508254,158000,2.8313441,2000.0,0.18620777,79,294.62025316455697,0.003125,0.04445236921310425,1e-05,780,-0.13253550473600625,0.2,0.00057118444,-0.00044298793363850564,0.545749843120575,5.929800778254867
18.502245,0.18002336,0.050634284,1605,99,0.0031712756,160000,2.6359496,2000.0,0.18778615,80,295.525,0.001708984375,0.0014125704765319824,1e-05,790,-0.13408479660283773,0.2,0.00044002885,-0.0009116402361541986,2.530116081237793,7.929332927614451
18.761665,0.111894816,0.064207636,1625,99,0.0019539932,162000,2.4744515,2000.0,0.18378752,81,297.037037037037,0.006494140625,-0.009746313095092773,1e-05,800,-0.13424694852437824,0.2,0.00046585393,-0.0001997314771870151,1.6906299591064453,6.947028623521328
