return_mean,short_mean,long_mean,time/time_elapsed,long_std,short_std,rollout/ep_rew_mean,return_std,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss
0.833426,0.2769988,-0.3858035,32,2.0126357,0.2683703,2.3897058799999997,0.4914927,20.0,2048,1,63,,,,,,,,,,
0.93417335,0.31333154,-0.3717682,63,1.9821502,0.28451702,2.24588233,0.5475743,20.0,4096,2,65,0.0,1e-05,0.1586884921649471,10,-3.555073729157448,0.2,-0.003600359399570152,0.0010607356,-0.07238888740539551,0.03963414579629898
1.071808,0.2986616,-0.38793087,93,2.0570416,0.29836535,2.5467646999999998,0.6562391,20.0,6144,3,65,0.0,1e-05,0.08299124095356092,20,-3.5535951323807238,0.2,-0.0028341382276266813,0.0009995475,0.5110780000686646,0.0082060806453228
1.0996578,0.3048928,-0.3942114,124,2.023894,0.26435378,2.47176467,0.65228605,20.0,8192,4,65,0.00458984375,1e-05,0.08743559862487019,30,-3.549547290802002,0.2,-0.005883116275072098,0.0040108897,0.6658821702003479,0.018224723637104034
0.99587166,0.27884886,-0.40125135,154,2.0000184,0.26585832,2.2685294099999997,0.6339411,20.0,10240,5,66,0.0048828125,1e-05,0.07922462838469073,40,-3.539227128773928,0.2,-0.005358957799035125,0.0042401934,0.711139053106308,0.04877784103155136
1.0532649,0.2810478,-0.38896716,185,2.0260284,0.26981005,2.4035294,0.6749615,20.0,12288,6,66,0.01640625,1e-05,0.07828133831499144,50,-3.520184352248907,0.2,-0.006255653919652104,0.006968307,0.7320340573787689,0.03055707737803459
1.0772295,0.24604943,-0.38013574,218,2.0105793,0.26085824,2.4317647200000003,0.64915514,20.0,14336,7,65,0.03818359375,1e-05,0.08767493456834927,60,-3.4852630153298376,0.2,-0.008044737378077116,0.0080582695,0.7421782612800598,0.009371139109134674
1.069591,0.2277119,-0.41166908,250,2.0495417,0.23690312,2.4629411699999997,0.6992979,20.0,16384,8,65,0.03603515625,1e-05,0.06668110613245518,70,-3.433451468497515,0.2,-0.008410534693393857,0.010580778,0.7874025702476501,0.012850422412157059
1.1393139,0.23410502,-0.39894187,282,1.9661798,0.23571353,2.53147062,0.6850364,20.0,18432,9,65,0.027978515625,1e-05,0.08237279927707278,80,-3.4105668887495995,0.2,-0.009073312077089214,0.0070662936,0.7648451626300812,0.048183053731918335
1.1062032,0.24032128,-0.40235823,314,1.9505458,0.21782732,2.4894117799999997,0.6975998,20.0,20480,10,65,0.070751953125,1e-05,0.07952625431353226,90,-3.3619793355464935,0.2,-0.014460316102486104,0.013069764,0.7738609611988068,0.01005828008055687
1.0936643,0.22149175,-0.410243,345,2.1194634,0.1995841,2.4432352699999997,0.6795405,20.0,22528,11,65,0.031884765625,1e-05,0.07887136118370108,100,-3.2990380086004736,0.2,-0.00987110359565122,0.008578239,0.7839556634426117,-0.0013035386800765991
1.1525729,0.22546154,-0.40735972,377,2.0277848,0.19503847,2.6411764699999996,0.719169,20.0,24576,12,65,0.049853515625,1e-05,0.07161140614189207,110,-3.220511960983276,0.2,-0.010137051192577929,0.011973485,0.8022396862506866,-0.00612221471965313
1.113343,0.22620763,-0.38399893,408,2.0206757,0.20256786,2.55264708,0.70206636,20.0,26624,13,65,0.063037109375,1e-05,0.07998644530307501,120,-3.1354312181472777,0.2,-0.01175088555610273,0.010012803,0.795049786567688,0.03696253523230553
1.1748359,0.25650927,-0.40143448,438,1.9041144,0.21642862,2.6314705600000003,0.6939607,20.0,28672,14,65,0.1068359375,1e-05,0.07479019751772284,130,-3.0754842914640905,0.2,-0.017249979678308592,0.011790739,0.7975558340549469,0.01352299377322197
1.1539218,0.3182089,-0.39227417,469,1.9015335,0.24996912,2.6008823100000003,0.71580213,20.0,30720,15,65,0.066552734375,1e-05,0.0667920297011733,140,-2.9741446390748023,0.2,-0.011773403960978613,0.013021678,0.8202913403511047,0.04275901988148689
1.1910517,0.34957594,-0.40353143,499,1.9340749,0.25745922,2.6720587900000004,0.735727,20.0,32768,16,65,0.0744140625,1e-05,0.0652858929010108,150,-2.917517926543951,0.2,-0.01295391099556582,0.011476422,0.8265083283185959,-0.021339282393455505
1.1747993,0.35507238,-0.4016444,531,2.0104113,0.25480646,2.6523529200000002,0.7202109,20.0,34816,17,65,0.03056640625,1e-05,0.08399489806615748,160,-2.8996191933751105,0.2,-0.008531174575909971,0.008498607,0.8003866523504257,0.023425932973623276
1.2420907,0.34959102,-0.40690845,562,1.932123,0.26490527,2.73411767,0.69966453,20.0,36864,18,65,0.04384765625,1e-05,0.06589797507622279,170,-2.8932975113391874,0.2,-0.008375676276045851,0.00905213,0.8388134092092514,-0.01664431393146515
1.1729666,0.33305764,-0.391369,593,1.9124699,0.2571342,2.62441172,0.7014488,20.0,38912,19,65,0.029248046875,1e-05,0.06109855246613734,180,-2.850861103087664,0.2,-0.00645660338923335,0.010842662,0.8300543427467346,0.013504669070243835
